,poster,MovieName,Rating,Director
49,"https://m.media-amazon.com/images/M/MV5BNzY5ZTA3YWItMjYxZi00ZWFlLWEwN2ItZDBhMTFjNjYzNGM4XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY71_CR2,0,48,71_.jpg",Devasuram,8.7,I.V. Sasi
50,"https://m.media-amazon.com/images/M/MV5BYmJhZmJlYTItZmZlNy00MGY0LTg0ZGMtNWFkYWU5NTA1YTNhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY71_CR1,0,48,71_.jpg",Drishyam,8.2,Nishikant Kamat
51,"https://m.media-amazon.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_QL75_UX48_CR0,0,48,71_.jpg",Gangs of Wasseypur,8.2,Anurag Kashyap
52,"https://m.media-amazon.com/images/M/MV5BMjU2NzIzMjYtMGE2ZS00YzgzLWE5MzgtZTFiYTlmOWNlYmJkXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_QL75_UY71_CR2,0,48,71_.jpg",Raatchasan,8.3,Ram Kumar
53,"https://m.media-amazon.com/images/M/MV5BMTY1Nzg4MjcwN15BMl5BanBnXkFtZTcwOTc1NTk1OQ@@._V1_QL75_UY71_CR1,0,48,71_.jpg",Bhaag Milkha Bhaag,8.2,Rakeysh Omprakash Mehra
54,"https://m.media-amazon.com/images/M/MV5BOTM4ZjhiNGItMzE2My00YjM0LWE5ZTEtYTA5NDMzZDJlOWQ3XkEyXkFqcGdeQXVyODMyODMxNDY@._V1_QL75_UY71_CR1,0,48,71_.jpg",Guide,8.3,Vijay Anand
55,"https://m.media-amazon.com/images/M/MV5BZGFhNTYwZmMtNzk4Ny00MTExLThjMWUtNjYzMTEwZjEzMWQ3XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_QL75_UY71_CR5,0,48,71_.jpg",Sardar Udham,8.4,Shoojit Sircar
56,"https://m.media-amazon.com/images/M/MV5BMmNkN2ZkODgtZTU1Zi00MDg3LWE1MGQtM2ZmY2Y3ODcwZmE5XkEyXkFqcGdeQXVyNTgxODY5ODI@._V1_QL75_UX48_CR0,2,48,71_.jpg",Mahanati,8.4,Nag Ashwin
57,"https://m.media-amazon.com/images/M/MV5BYWQ3NzA5MTQtYTBmYy00N2FkLTgzY2YtNGFkY2FjZTI4Njc3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY71_CR1,0,48,71_.jpg",Peranbu,8.7,Ram
58,"https://m.media-amazon.com/images/M/MV5BNGE3OGUxMTctMDdhOC00OTFjLWIxYjQtNTJjYjNhMmM4ZTEyXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY71_CR1,0,48,71_.jpg",Chithram,8.6,Priyadarshan
59,"https://m.media-amazon.com/images/M/MV5BZGFmMjM5OWMtZTRiNC00ODhlLThlYTItYTcyZDMyYmMyYjFjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UY71_CR1,0,48,71_.jpg",Zindagi Na Milegi Dobara,8.2,Zoya Akhtar
60,"https://m.media-amazon.com/images/M/MV5BYmUxMjBhMWUtMjQwNS00YzYxLTlmMDAtMzk5ZWQ0ZDJmYjBiXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UX48_CR0,2,48,71_.jpg",Iruvar,8.4,Mani Ratnam
61,"https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_QL75_UY71_CR1,0,48,71_.jpg",Andhadhun,8.2,Sriram Raghavan
62,"https://m.media-amazon.com/images/M/MV5BYjNkNDEzNDctYTk0Mi00NzNlLWEyZGItMmYzMGE4MzcyYzU3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY71_CR6,0,48,71_.jpg",Super Deluxe,8.2,Thiagarajan Kumararaja
63,"https://m.media-amazon.com/images/M/MV5BODgxYjY0NGEtZjM1MS00YTAwLThkN2QtOTBkMWJhMmI5ZWY1XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY71_CR2,0,48,71_.jpg",Mudhalvan,8.4,S. Shankar
64,"https://m.media-amazon.com/images/M/MV5BMTYyMDE1NjQ1Nl5BMl5BanBnXkFtZTgwMDAyMTUzMDE@._V1_QL75_UY71_CR3,0,48,71_.jpg",Shahid,8.2,Hansal Mehta
65,"https://m.media-amazon.com/images/M/MV5BYWRkNTRiYmMtNzM5Yi00OGNmLWE2YWItMTUwNDVmYzg0ZWUyXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_QL75_UY71_CR2,0,48,71_.jpg",Kannathil Muthamittal,8.3,Mani Ratnam
66,"https://m.media-amazon.com/images/M/MV5BNDExMTBlZTYtZWMzYi00NmEwLWEzZGYtOTA1MDhmNTc0ODZkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX48_CR0,0,48,71_.jpg",Hera Pheri,8.2,Priyadarshan
67,"https://m.media-amazon.com/images/M/MV5BYjkzODdhZjUtMjY0YS00ODA3LTkxMDUtM2JlYTQyMWE1NTMzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_QL75_UY71_CR2,0,48,71_.jpg",Thirst,8.3,Guru Dutt
68,"https://m.media-amazon.com/images/M/MV5BMzQ4MTBlYTQtMzJkYS00OGNjLTk1MWYtNzQ0OTQ0OWEyOWU1XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_QL75_UY71_CR1,0,48,71_.jpg",Munna Bhai M.B.B.S.,8.1,Rajkumar Hirani
69,"https://m.media-amazon.com/images/M/MV5BMjBjNWYyY2UtOGNjZC00MTg4LWIwYWItYmZiNDI5MGUwNWRkXkEyXkFqcGdeQXVyNjI1NjA5NjE@._V1_QL75_UX48_CR0,0,48,71_.jpg",Sairat,8.3,Nagraj Manjule
70,"https://m.media-amazon.com/images/M/MV5BODY2NGYxZTEtMzBiOS00Zjg2LWEyZjYtNjQ5Mjg1MzQ5N2FlXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_QL75_UY71_CR1,0,48,71_.jpg",Swades,8.2,Ashutosh Gowariker
71,"https://m.media-amazon.com/images/M/MV5BY2Q5YmU0ODEtN2JhNy00ZjZhLWFhN2MtM2Q0ZGUwYzJjZmUyXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY71_CR5,0,48,71_.jpg",Spadikam,8.6,Bhadran
72,"https://m.media-amazon.com/images/M/MV5BYjg2ZDI2YTYtN2EwYi00YWI5LTgyMWQtMWFkYmE3NmJkOGVhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY71_CR1,0,48,71_.jpg",Chhichhore,8.3,Nitesh Tiwari
73,"https://m.media-amazon.com/images/M/MV5BYmQxNmU4ZjgtYzE5Mi00ZDlhLTlhOTctMzJkNjk2ZGUyZGEwXkEyXkFqcGdeQXVyMzgxMDA0Nzk@._V1_QL75_UY71_CR1,0,48,71_.jpg",Tumbbad,8.2,Rahi Anil Barve
74,"https://m.media-amazon.com/images/M/MV5BZjAzYzIwYzAtNmRiMC00ZmQ3LTgwMzAtODVhMDk3NTBmNWE4XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY71_CR5,0,48,71_.jpg",Papanasam,8.4,Jeethu Joseph
75,"https://m.media-amazon.com/images/M/MV5BY2FiMTFmMzMtZDI2ZC00NDQyLWExYTUtOWNmZWM1ZDg5YjVjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_QL75_UX48_CR0,0,48,71_.jpg",Vikram Vedha,8.2,Gayatri
76,"https://m.media-amazon.com/images/M/MV5BMTQwZjRiMjUtYmU0OS00Y2EwLWJhZTctOWI1ZGU2NWExM2FkXkEyXkFqcGdeQXVyMTY3ODkyNDkz._V1_QL75_UX48_CR0,0,48,71_.jpg",Manjummel Boys,8.3,Chidambaram
77,"https://m.media-amazon.com/images/M/MV5BNTgwODM5OTMzN15BMl5BanBnXkFtZTcwMTA3NzI1Nw@@._V1_QL75_UY71_CR1,0,48,71_.jpg",Paan Singh Tomar,8.2,Tigmanshu Dhulia
78,"https://m.media-amazon.com/images/M/MV5BOGY4NzU0ZGYtMmZmZS00MTFiLTkxMDAtMjc4NGU5MmVkZTkwXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UX48_CR0,4,48,71_.jpg",Mandela,8.4,Madonne Ashwin
79,"https://m.media-amazon.com/images/M/MV5BMTRkMTFhMzMtOWViMi00NzBhLTg2Y2QtMjBkMDQxNzRiZWI5XkEyXkFqcGc@._V1_QL75_UY71_CR1,0,48,71_.jpg",Jo Jeeta Wohi Sikandar,8.1,Mansoor Khan
80,"https://m.media-amazon.com/images/M/MV5BMTUzODMyNzk4NV5BMl5BanBnXkFtZTgwNTk1NTYyNTM@._V1_QL75_UY71_CR3,0,48,71_.jpg",Chak De! India,8.1,Shimit Amin
81,"https://m.media-amazon.com/images/M/MV5BNTI5MmE5M2UtZjIzYS00M2JjLWIwNDItYTY2ZWNiODBmYTBiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY71_CR1,0,48,71_.jpg",Black,8.1,Sanjay Leela Bhansali
82,"https://m.media-amazon.com/images/M/MV5BZDM5N2FlNTctNTY3MS00OWNjLWFmOTAtYjJkMjU5NWIyNDVmXkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_QL75_UY71_CR3,0,48,71_.jpg",Aruvi,8.4,Arun Prabhu Purushothaman
83,"https://m.media-amazon.com/images/M/MV5BNDJiZGIyYjMtYjZkMy00NzE5LTljMDAtNjc3YmNlNjM3MDIzXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_QL75_UX48_CR0,2,48,71_.jpg",Aaranya Kaandam,8.5,Thiagarajan Kumararaja
84,"https://m.media-amazon.com/images/M/MV5BMTYzOTE2NjkxN15BMl5BanBnXkFtZTgwMDgzMTg0MzE@._V1_QL75_UY71_CR1,0,48,71_.jpg",PK,8.1,Rajkumar Hirani
85,"https://m.media-amazon.com/images/M/MV5BZDM2YjQzODEtNjQ0Ny00ZGRjLWE0NDgtMmI4OGM2ODc0NjEyXkEyXkFqcGdeQXVyMTA5NjIyODcx._V1_QL75_UX48_CR0,0,48,71_.jpg",Pudhu Pettai,8.4,K. Selvaraghavan
86,"https://m.media-amazon.com/images/M/MV5BNDYxNWUzZmYtOGQxMC00MTdkLTkxOTctYzkyOGIwNWQxZjhmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX48_CR0,0,48,71_.jpg",Lagaan: Once Upon a Time in India,8.1,Ashutosh Gowariker
87,"https://m.media-amazon.com/images/M/MV5BMzU0MjM3YTQtZmNjYi00ODI5LThhYzQtOWMwZjAxMjg2MTRjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY71_CR1,0,48,71_.jpg",Jana Gana Mana,8.3,Dijo Jose Antony
88,"https://m.media-amazon.com/images/M/MV5BMDRiOWNjYjUtMDI0ZC00MDMyLTkwZDItNTU5NWQ1NjEyNGYxXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_QL75_UX48_CR0,7,48,71_.jpg",Vikram,8.3,Lokesh Kanagaraj
